项目,发布耗时(s),目录大小(mb),程序大小,启动耗时,应用启动耗时,应用启动内存,压测QPS,压测耗时-最大(ms),压测耗时-平均,压测耗时-最小,单次请求耗时-最大,单次请求耗时-平均,单次请求耗时-最小,单次请求耗时-95%,单次请求耗时-99%,压测内存-最大,压测内存-平均,压测内存-最小,压测CPU-最大,压测CPU-平均,压测CPU-最小
Normal,=1.67,=0.18,=0.16,=38.00,=194.40,=14.44,=48607.06,=4156.00,=4114.80,=4073.00,=564.60,="0.33",="0.00",="0.00",="3.00",=28.10,=24.53,=13.12,=490.24,=337.89,=24.06
Normal-WksGC,=1.61,=0.18,=0.16,=33.40,=191.00,=13.27,=47911.35,=4321.00,=4177.20,=4043.00,=463.60,="0.28",="0.00",="0.00",="3.00",=26.22,=23.68,=11.96,=490.39,=342.40,=24.12
Normal_PGO,=1.59,=0.18,=0.16,=49.20,=504.80,=18.12,=47990.07,=4355.00,=4171.20,=4003.00,=398.20,="0.28",="0.00",="0.00",="3.20",=28.96,=26.51,=16.41,=499.78,=341.30,=24.51
Normal_PGO_OSR,=1.60,=0.18,=0.16,=50.20,=516.80,=18.31,=47642.09,=4327.00,=4200.80,=4063.00,=510.00,="0.26",="0.00",="0.00",="3.00",=29.17,=26.79,=16.49,=492.80,=344.94,=20.00
Normal_PGO_OSR_OSA,=1.64,=0.18,=0.16,=49.60,=513.40,=18.35,=47813.37,=4367.00,=4188.00,=4049.00,=523.60,="0.28",="0.00",="0.00",="3.20",=28.76,=25.77,=16.56,=491.26,=347.91,=24.52
SingleFilePublish,=1.62,=0.18,=0.16,=37.00,=196.40,=14.49,=47039.22,=4465.00,=4256.20,=4094.00,=451.80,="0.32",="0.00",="0.00",="3.20",=26.89,=24.03,=13.03,=490.97,=340.23,=22.32
SingleFilePublish-SelfContained,=2.71,=86.46,=86.44,=48.20,=230.40,=13.77,=47769.89,=4369.00,=4190.20,=4086.00,=388.60,="0.28",="0.00",="0.00",="3.20",=25.49,=23.02,=12.50,=490.41,=342.09,=24.51
SingleFilePublish-SelfContained-Trim,=12.60,=37.32,=37.30,=39.40,=610.00,=15.73,=48792.86,=4119.00,=4099.00,=4080.00,=401.80,="0.27",="0.00",="0.00",="3.00",=26.41,=24.32,=14.08,=490.82,=338.95,=19.92
SingleFilePublish-SelfContained-Compress,=4.52,=44.84,=44.82,=170.60,=501.80,=13.93,=48526.08,=4184.00,=4121.80,=4078.00,=388.40,="0.26",="0.00",="0.00",="3.00",=25.84,=23.36,=12.64,=492.31,=339.27,=24.53
SingleFilePublish-SelfContained-Trim-Compress,=13.21,=21.80,=21.78,=59.80,=681.40,=15.75,=48221.39,=4306.00,=4149.00,=4098.00,=376.80,="0.29",="0.00",="0.00",="3.20",=25.86,=23.80,=14.09,=500.00,=340.40,=20.00
AOT-Size,=24.73,=96.65,=22.57,=17.00,=73.80,=14.49,=48342.16,=4151.00,=4137.20,=4120.00,=386.40,="0.31",="0.00",="0.00",="3.40",=67.53,=47.50,=13.54,=449.99,=275.31,=25.00
AOT-Speed,=24.79,=97.68,=23.66,=16.80,=74.00,=14.51,=48771.01,=4146.00,=4101.00,=4055.00,=412.00,="0.29",="0.00",="0.00",="3.00",=68.33,=46.83,=13.53,=426.40,=276.52,=25.00
